packageOrder,packagePageStart,packagePageEnd,date,pageCount,title,documentType,sourceClass,themes,sourceUrl,pdfUrl,sourceNote
11,53,55,1994-12-29,3,President Yeltsin to President Clinton on NATO Enlargement,Presidential correspondence,clinton-library-mdr,nato-expansion; nato-russia; pfp; architecture; nsc-soc,https://clinton.presidentiallibraries.us/items/show/118449,https://clinton.presidentiallibraries.us/files/original/30a20581e145dde08f2fa55c745c04f2.pdf,"Source: Clinton Presidential Records, NSC Records Management, DC0161 DC Meeting on NATO-Russia Relationship, January 9, 1995, Mandatory Declassification Review 2015-0768-M, Clinton Digital Library, PDF pages 64-66."
12,56,57,1995-01-06,2,President Clinton to President Yeltsin on NATO Expansion and Chechnya,Presidential message cable,clinton-library-mdr,nato-expansion; nato-russia; pfp; architecture; nsc-soc,https://clinton.presidentiallibraries.us/items/show/118449,https://clinton.presidentiallibraries.us/files/original/30a20581e145dde08f2fa55c745c04f2.pdf,"Source: Clinton Presidential Records, NSC Records Management, DC0161 DC Meeting on NATO-Russia Relationship, January 9, 1995, Mandatory Declassification Review 2015-0768-M, Clinton Digital Library, PDF pages 68-69. Confidential; declassified in part."
13,58,59,1995-03,2,Annex to Clinton-Yeltsin Letter: NATO's Evolution Since 1990,Annex,clinton-library-mdr,nato-expansion; nato-russia; pfp; architecture; nsc-soc,https://clinton.presidentiallibraries.us/items/show/118449,https://clinton.presidentiallibraries.us/files/original/30a20581e145dde08f2fa55c745c04f2.pdf,"Source: Clinton Presidential Records, NSC Records Management, DC0180 DC Meeting on NATO Expansion and NATO-Russia Relations, March 8, 1995, Mandatory Declassification Review 2015-0768-M, Clinton Digital Library, PDF pages 77-78."
14,60,62,1993-09-20,3,Yeltsin: NATO Expansion,Cable,clinton-library-mdr,nato-expansion; nato-russia; pfp; cfe-osce; nsc-soc,https://clinton.presidentiallibraries.us/items/show/118449,https://clinton.presidentiallibraries.us/files/original/30a20581e145dde08f2fa55c745c04f2.pdf,"Source: Clinton Presidential Records, NSC Records Management, PC0037 PC Meeting on NATO Summit, October 18, 1993, Mandatory Declassification Review 2015-0768-M, Clinton Digital Library, PDF pages 16-18. Secret."
15,63,75,1996-06-06,13,C-P-L Item: NATO Enlargement,NSC email with attached policy paper,clinton-library-mdr,nato-expansion; nato-russia; nac-usnato; architecture; nsc-soc,https://clinton.presidentiallibraries.us/items/show/57565,https://clinton.presidentiallibraries.us/files/original/ae02d8219b6f90d0e5fc7a41f099bdce.pdf,"Source: Clinton Presidential Records, NSC Emails, MsMail-Record (Sept 94-Sept 97), [NATO Enlargement and Lake], Mandatory Declassification Review 2015-0770-M, Clinton Digital Library, PDF pages 2-14. Secret."
16,76,87,1996-12-04,12,MEETING WITH PRIMAKOV IN LONDON,GC,state-foia,nato-expansion; nato-russia; nac-usnato; cfe-osce; candidate-states; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06699013/C06699013.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06699013/C06699013.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06699013. RELEASE IN FULL."
17,88,93,1997-02-22,6,"SECRETARY'S MEETING WITH RUSSIAN PRIME MINISTER CHERNOMYRDIN, FEBRUARY 20, 1997",TE,state-foia,nato-expansion; madrid-summit; nato-russia; nac-usnato; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06703508/C06703508.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06703508/C06703508.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06703508. RELEASE IN FULL."
18,94,97,1996-07-24,4,DEPUTY SECRETARY TALBOTT'S JULY 9 MEETING WITH HUNGARIAN MFA STATE SECRETARY ISTVAN SZENT-IVANYI,TE,state-foia,nato-expansion; nato-russia; pfp; nac-usnato; architecture; candidate-states,https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698297/C06698297.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698297/C06698297.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06698297. RELEASE IN FULL."
19,98,104,1996-11-15,7,DEPUTY SECRETARY MEETING WITH UKRAINIAN FOREIGN MINISTER UDOVENKO,TE,state-foia,nato-expansion; nato-russia; architecture; cfe-osce; candidate-states; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698688/C06698688.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698688/C06698688.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06698688. RELEASE IN FULL."
20,105,109,1997-03-05,5,"SECRETARY'S MEETING WITH YEVGENIY M. PRIMAKOV RUSSIAN FOREIGN MINISTER, FEBRUARY 20, 1997, MOSCOW`",TE,state-foia,nato-expansion; nato-russia; architecture; cfe-osce; candidate-states; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06702917/C06702917.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06702917/C06702917.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06702917. RELEASE IN FULL."
21,110,114,1997-03-07,5,OFFICIAL INFORMAL -- TALBOTT - LEVITTE MEETING,GC,state-foia,nato-expansion; madrid-summit; architecture; cfe-osce; candidate-states; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06703393/C06703393.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06703393/C06703393.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06703393. RELEASE IN FULL."
22,115,119,1997-03-12,5,"DEPUTY SECRETARY'S MEETING WITH FRENCH PRESIDENT'S DIPLOMATIC ADVISOR, MARCH 4",TE,state-foia,nato-expansion; madrid-summit; architecture; cfe-osce; candidate-states; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06703449/C06703449.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06703449/C06703449.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06703449. RELEASE IN FULL."
23,120,123,1996-10-29,4,ACTING SECRETARY AND LITHUANIAN FONMIN ON NATO ENLARGEMENT,TE,state-foia,nato-expansion; nato-russia; pfp; nac-usnato; cfe-osce; candidate-states,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698709/C06698709.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698709/C06698709.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06698709. RELEASE IN FULL."
24,124,128,2000-01-28,5,Official - Informal,TE,state-foia,nato-expansion; madrid-summit; open-door-map; architecture; cfe-osce; candidate-states,https://foia.state.gov/DOCUMENTS/FOIA_L_Dec2020_C/F-2017-13804/DOC_0C06814913/C06814913.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Dec2020_C/F-2017-13804/DOC_0C06814913/C06814913.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06814913. UNSPECIFIED IN SOURCE."
25,129,133,1998-09-16,5,Expanded Meeting with President Vaclav Havel of the Czech Republic,Memorandum of conversation,clinton-library-mdr,nato-expansion; open-door-map; candidate-states; nsc-soc,https://clinton.presidentiallibraries.us/items/show/101539,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2015-0773-M.pdf,"Source: Clinton Presidential Records, NSC Records Management, [Havel and Telcons], Mandatory Declassification Review 2015-0773-M, Clinton Library PDF pages 177-181. Confidential."
26,134,135,2000-04-20,2,"Deputy Secretary Talbott and NSC Senior Director Hill Meet with General Sir Rupert Smith, D/Saceur, on Apr 18, 2000",TE,state-foia,nato-expansion; nato-russia; open-door-map; candidate-states; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_L_Dec2020_C/F-2017-13804/DOC_0C06815096/C06815096.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Dec2020_C/F-2017-13804/DOC_0C06815096/C06815096.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06815096. UNSPECIFIED IN SOURCE."
27,136,143,1997-06-09,8,A Diplomatic and Congressional Strategy for Madrid and Beyond,Strategy paper,clinton-library-mdr,nato-expansion; madrid-summit; open-door-map; nsc-soc,https://clinton.presidentiallibraries.us/items/show/118449,https://clinton.presidentiallibraries.us/files/original/30a20581e145dde08f2fa55c745c04f2.pdf,"Source: Clinton Presidential Records, NSC Records Management, PC0230 PC Meeting on Madrid NATO Summit Planning, June 10, 1997, Mandatory Declassification Review 2015-0768-M, Clinton Digital Library, PDF pages 29-36. Confidential."
28,144,145,1998-05-04,2,Telcon with President Havel of the Czech Republic,Memorandum of telephone conversation,clinton-library-mdr,nato-expansion; ratification; candidate-states; nsc-soc,https://clinton.presidentiallibraries.us/items/show/101537,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2015-0773-M.pdf,"Source: Clinton Presidential Records, NSC Records Management, [Havel and Telcons], Mandatory Declassification Review 2015-0773-M, Clinton Library PDF pages 127-128. Unclassified."
29,146,152,1993-09-29,7,"Russia, NATO and the Two January Summits",Cable,clinton-library-mdr,nato-expansion; nato-russia; pfp; nsc-soc,https://clinton.presidentiallibraries.us/items/show/118449,https://clinton.presidentiallibraries.us/files/original/30a20581e145dde08f2fa55c745c04f2.pdf,"Source: Clinton Presidential Records, NSC Records Management, PC0037 PC Meeting on NATO Summit, October 18, 1993, Mandatory Declassification Review 2015-0768-M, Clinton Digital Library, PDF pages 9-15. Secret."
30,153,160,1993-12-31,8,Your Trip to Prague,Presidential briefing memorandum,clinton-library-mdr,nato-expansion; nato-russia; pfp; nsc-soc,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2024-0540-M.pdf,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2024-0540-M.pdf,"Source: Clinton Presidential Records, Mandatory Declassification Review 2024-0540-M, Clinton Library PDF pages 6-13. Confidential."
31,161,161,1995-03,1,Elements of a Russian Reply,Talking points,clinton-library-mdr,nato-expansion; nato-russia; pfp; nsc-soc,https://clinton.presidentiallibraries.us/items/show/118449,https://clinton.presidentiallibraries.us/files/original/30a20581e145dde08f2fa55c745c04f2.pdf,"Source: Clinton Presidential Records, NSC Records Management, DC0180 DC Meeting on NATO Expansion and NATO-Russia Relations, March 8, 1995, Mandatory Declassification Review 2015-0768-M, Clinton Digital Library, PDF page 81. Confidential/Nodis."
32,162,163,1995-03-02,2,Status of NATO-Russia Process,Decision paper,clinton-library-mdr,nato-expansion; nato-russia; pfp; nsc-soc,https://clinton.presidentiallibraries.us/items/show/118449,https://clinton.presidentiallibraries.us/files/original/30a20581e145dde08f2fa55c745c04f2.pdf,"Source: Clinton Presidential Records, NSC Records Management, DC0180 DC Meeting on NATO Expansion and NATO-Russia Relations, March 8, 1995, Mandatory Declassification Review 2015-0768-M, Clinton Digital Library, PDF pages 72-73. Confidential."
33,164,167,1997-03-06,4,OFFICIAL INFORMAL: FOR OFFICE OF THE DEPUTY SECRETARY (ERIC EDELMAN),TE,state-foia,nato-expansion; pfp; architecture; cfe-osce; candidate-states; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06703169/C06703169.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06703169/C06703169.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06703169. RELEASE IN FULL."
34,168,172,1997-03-12,5,"DEPUTY SECRETARY'S MEETING WITH FRENCH MFA POLITICAL DIRECTOR, MARCH 4",TE,state-foia,nato-expansion; pfp; architecture; cfe-osce; candidate-states; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06703181/C06703181.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06703181/C06703181.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06703181. RELEASE IN FULL."
35,173,196,1995-09-15,24,KOZYREV MEETING,MI,state-foia,nato-expansion; nato-russia; pfp; architecture; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698129/C06698129.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698129/C06698129.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06698129. RELEASE IN FULL."
36,197,201,1996-09-13,5,THE BRIEF THAT JIM AND I WILL GIVE TO YOU ON OUR RETURN TO THE DEPARTMENT,GC,state-foia,nato-expansion; nato-russia; nac-usnato; candidate-states; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698215/C06698215.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698215/C06698215.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06698215. RELEASE IN FULL."
37,202,207,1997-03-05,6,"SECRETARY'S MEETING WITH VICTOR CHERNOMYRDIN, RUSSIAN PRIME MINISTER FEBRUARY 20, 1997, MOSCOW",TE,state-foia,nato-expansion; madrid-summit; nato-russia; nac-usnato; cfe-osce,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06702931/C06702931.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06702931/C06702931.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06702931. RELEASE IN FULL."
38,208,212,1996-10-29,5,DEPUTY SECRETARY TALBOTT'S OCTOBER 1 MEETING WITH HUNGARIAN FOREIGN MINISTER KOVACS,TE,state-foia,nato-expansion; nato-russia; cfe-osce; candidate-states; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698715/C06698715.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698715/C06698715.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06698715. RELEASE IN FULL."
39,213,217,1997-02-23,5,"SECRETARYOS MEETING WITH MICHEAL PORTILLO, BRITISH DEFENSE SECRETARY, FEBRUARY 19. 1997, LONDON",TE,state-foia,nato-expansion; nato-russia; nac-usnato; cfe-osce; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06702826/C06702826.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06702826/C06702826.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06702826. RELEASE IN FULL."
40,218,221,1995-06-12,4,Your Meeting with Yeltsin in Halifax,ME,state-foia,nato-expansion; nato-russia; architecture; cfe-osce; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2021_C/F-2017-13804/DOC_0C06835149/C06835149.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2021_C/F-2017-13804/DOC_0C06835149/C06835149.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06835149. UNSPECIFIED IN SOURCE."
41,222,243,1996-09-11,22,PARIS ST-MAMEDOV,MI,state-foia,nato-expansion; nato-russia; architecture; cfe-osce; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698220/C06698220.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698220/C06698220.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06698220. RELEASE IN FULL."
42,244,254,1997-03-13,11,"SECRETARY'S MEETING WITH JOHN MAJOR, BRITISH PRIME MINISTER, LONDON, FEBRUARY 19, 1997",TE,state-foia,nato-expansion; nato-russia; architecture; cfe-osce; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06703421/C06703421.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06703421/C06703421.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06703421. RELEASE IN FULL."
43,255,260,1994-09-11,6,"September 11, 1994 Letter to Chris",GC,state-foia,nato-expansion; pfp; cfe-osce; candidate-states; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2022V2/F-2017-13804/DOC_0C09000146/C09000146.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2022V2/F-2017-13804/DOC_0C09000146/C09000146.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C09000146. RELEASE IN FULL."
44,261,266,1996-07-01,6,"MEETING WITH PRESIDENTS MERI OF ESTONIA, ULMANIS OF LATVIA AND BRAZAUSKAS OF LITHUANIA",TE,state-foia,nato-expansion; pfp; cfe-osce; candidate-states; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698302/C06698302.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698302/C06698302.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06698302. RELEASE IN FULL."
45,267,279,1996-08-28,13,HERE'S A REPORT ON MY SESSION WITH MAMEDOV IN OTTAWA,GC,state-foia,nato-expansion; nato-russia; nac-usnato; cfe-osce; candidate-states,https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698213/C06698213.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698213/C06698213.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06698213. RELEASE IN FULL."
46,280,284,1994-09-12,5,THE FUTURE OF EUROPEAN SECURITY,ME,state-foia,nato-expansion; pfp; architecture; cfe-osce; nsc-soc,https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2022V2/F-2017-13804/DOC_0C09000145/C09000145.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2022V2/F-2017-13804/DOC_0C09000145/C09000145.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C09000145. RELEASE IN FULL."
47,285,289,1996-08-28,5,DEPUTY SECRETARY TALBOTT'S AUGUST 27 MEETING WITH CANADIAN ACTING FOREIGN MINISTER SMITH,TE,state-foia,nato-expansion; nato-russia; architecture; cfe-osce; candidate-states,https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698315/C06698315.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698315/C06698315.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06698315. RELEASE IN FULL."
48,290,293,1996-10-12,4,CONVERSATION BETWEEN THE DEPUTY SECRETARY AND HUNGARIAN MOD DEPUTY STATE SECRETARY ISTVAN GYARMATI,TE,state-foia,nato-expansion; nato-russia; architecture; cfe-osce; candidate-states,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698803/C06698803.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698803/C06698803.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06698803. RELEASE IN FULL."
49,294,300,1996-10-25,7,OFFICIAL INFORMAL,TE,state-foia,nato-expansion; nato-russia; architecture; cfe-osce; candidate-states,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698818/C06698818.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698818/C06698818.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06698818. RELEASE IN FULL."
50,301,303,1997-03-18,3,DEPUTY SECRETARY'S CONVERSATION WITH NATO SYG SOLANA,TE,state-foia,nato-expansion; nato-russia; nac-usnato; architecture; cfe-osce,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06702908/C06702908.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06702908/C06702908.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06702908. RELEASE IN PART."
51,304,307,2000-03-14,4,"Acting Secretary's March 6, 2000 meeting with Latvian FM Berzins",TE,state-foia,nato-expansion; open-door-map; nac-usnato; cfe-osce; candidate-states,https://foia.state.gov/DOCUMENTS/FOIA_L_Dec2020_C/F-2017-13804/DOC_0C06814976/C06814976.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Dec2020_C/F-2017-13804/DOC_0C06814976/C06814976.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06814976. UNSPECIFIED IN SOURCE."
52,308,309,1993-10,2,Phased NATO Expansion: Draft Declaration Language,Draft declaration language,clinton-library-mdr,nato-expansion; cfe-osce; candidate-states; nsc-soc,https://clinton.presidentiallibraries.us/items/show/118449,https://clinton.presidentiallibraries.us/files/original/30a20581e145dde08f2fa55c745c04f2.pdf,"Source: Clinton Presidential Records, NSC Records Management, PC0037 PC Meeting on NATO Summit, October 18, 1993, Mandatory Declassification Review 2015-0768-M, Clinton Digital Library, PDF pages 19-20. Confidential."
